,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,
0,8,1,10,0,10,0,3,7,8,2,9,1,,8,1,10,0,10,0,3,7,8,2,9,1
1,9,0,8,2,10,0,4,6,4,6,9,1,,9,0,8,2,10,0,4,6,4,6,9,1
2,9,0,7,3,10,0,0,10,0,10,0,10,,9,0,7,3,10,0,0,10,0,10,0,10
3,8,1,10,0,10,0,0,10,0,10,3,7,,8,1,10,0,10,0,0,10,0,10,3,7
4,9,0,7,3,10,0,0,10,0,10,0,10,,9,0,7,3,10,0,0,10,0,10,0,10
5,6,3,0,10,0,10,0,10,0,10,0,10,,6,3,0,10,0,10,0,10,0,10,0,10
6,9,0,8,2,10,0,0,10,6,4,5,5,,9,0,8,2,10,0,0,10,6,4,5,5
7,9,0,8,2,10,0,0,10,0,10,2,8,,9,0,8,2,10,0,0,10,0,10,2,8
8,9,0,7,3,8,2,0,10,0,10,0,10,,9,0,7,3,8,2,0,10,0,10,0,10
9,8,1,10,0,10,0,1,9,0,10,2,8,,8,1,10,0,10,0,1,9,0,10,2,8
10,9,1,9,0,10,0,0,10,9,1,8,2,,84,6,75,25,88,12,8,92,18,82,30,70
11,7,3,9,0,10,0,2,8,10,0,10,0,,0.933333333,0.066666667,0.75,0.25,0.88,0.12,0.08,0.92,0.18,0.82,0.3,0.7
12,8,2,9,0,10,0,5,5,10,0,10,0,,,,,,,,,,,,,
13,9,1,9,0,10,0,1,9,10,0,6,4,,,,,,,,,,,,,
14,0,10,9,0,6,4,8,2,10,0,10,0,,,,,,,,,,,,,
15,6,4,9,0,10,0,9,1,10,0,10,0,,,,,,,,,,,,,
16,5,5,9,0,10,0,5,5,10,0,10,0,,9,1,9,0,10,0,0,10,9,1,8,2
17,0,10,9,0,8,2,7,3,10,0,10,0,,7,3,9,0,10,0,2,8,10,0,10,0
18,1,9,9,0,9,1,6,4,10,0,10,0,,8,2,9,0,10,0,5,5,10,0,10,0
19,8,2,9,0,10,0,4,6,10,0,10,0,,9,1,9,0,10,0,1,9,10,0,6,4
20,9,1,10,0,9,0,4,6,10,0,10,0,,0,10,9,0,6,4,8,2,10,0,10,0
21,9,1,10,0,9,0,6,4,10,0,10,0,,6,4,9,0,10,0,9,1,10,0,10,0
22,9,1,10,0,9,0,4,6,9,1,10,0,,5,5,9,0,10,0,5,5,10,0,10,0
23,9,1,10,0,9,0,2,8,0,10,3,7,,0,10,9,0,8,2,7,3,10,0,10,0
24,9,1,10,0,9,0,6,4,10,0,10,0,,1,9,9,0,9,1,6,4,10,0,10,0
25,9,1,10,0,9,0,3,7,7,3,8,2,,8,2,9,0,10,0,4,6,10,0,10,0
26,9,1,10,0,9,0,9,1,10,0,10,0,,53,47,90,0,93,7,47,53,99,1,94,6
27,9,1,10,0,9,0,3,7,9,1,10,0,,0.53,0.47,1,0,0.93,0.07,0.47,0.53,0.99,0.01,0.94,0.06
28,9,1,10,0,9,0,1,9,4,6,7,3,,,,,,,,,,,,,
29,9,1,10,0,9,0,3,7,7,3,7,3,,,,,,,,,,,,,
30,10,0,10,0,10,0,9,0,10,0,10,0,,,,,,,,,,,,,
31,10,0,10,0,10,0,9,0,10,0,10,0,,9,1,10,0,9,0,4,6,10,0,10,0
32,10,0,10,0,10,0,9,0,10,0,10,0,,9,1,10,0,9,0,6,4,10,0,10,0
33,10,0,10,0,10,0,9,0,10,0,10,0,,9,1,10,0,9,0,4,6,9,1,10,0
34,10,0,10,0,10,0,9,0,10,0,10,0,,9,1,10,0,9,0,2,8,0,10,3,7
35,10,0,10,0,10,0,9,0,10,0,10,0,,9,1,10,0,9,0,6,4,10,0,10,0
