,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,7,3,9,1,0,10,0,10,0,10,,8,1,7,3,9,1,0,10,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,5,0,10,1,9,0,10,0,10,1,9,,4,5,0,10,1,9,0,10,0,10,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,3,3,7,6,4,0,10,0,10,0,10,,6,3,3,7,6,4,0,10,0,10,0,10,,,,58,32,30,70,48,52,0,100,0,100,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,3,5,5,5,5,0,10,0,10,0,10,,6,3,5,5,5,5,0,10,0,10,0,10,,,,90,90,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,2,1,9,2,8,0,10,0,10,0,10,,7,2,1,9,2,8,0,10,0,10,0,10,,,,0.644444444,0.355555556,0.3,0.7,0.48,0.52,0,1,0,1,0.01,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,9,0,10,0,10,0,10,0,10,0,10,,0,9,0,10,0,10,0,10,0,10,0,10,,,,0,100,58,32,4,96,0,100,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,2,3,7,9,1,0,10,0,10,0,10,,7,2,3,7,9,1,0,10,0,10,0,10,,,,100,100,90,90,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1,4,6,7,3,0,10,0,10,0,10,,8,1,4,6,7,3,0,10,0,10,0,10,,,,0,1,0.644444444,0.355555556,0.04,0.96,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,5,0,10,1,9,0,10,0,10,0,10,,4,5,0,10,1,9,0,10,0,10,0,10,,,,2,98,36,64,48,42,0,100,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,1,7,3,8,2,0,10,0,10,0,10,,8,1,7,3,8,2,0,10,0,10,0,10,,,,100,100,100,100,90,90,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,10,6,3,1,9,0,10,0,10,0,10,,58,32,30,70,48,52,0,100,0,100,1,99,,,,0.02,0.98,0.36,0.64,0.533333333,0.466666667,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,10,6,3,0,10,0,10,0,10,0,10,,90,90,100,100,100,100,100,100,100,100,100,100,,,,0,100,1,99,0,100,48,42,50,50,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,10,6,3,2,8,0,10,0,10,0,10,,0.644444444,0.355555556,0.3,0.7,0.48,0.52,0,1,0,1,0.01,0.99,,,,100,100,100,100,100,100,90,90,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,10,5,4,0,10,0,10,0,10,0,10,,,,,,,,,,,,,,,,,0,1,0.01,0.99,0,1,0.533333333,0.466666667,0.5,0.5,0.51,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,10,3,6,0,10,0,10,0,10,0,10,,0,10,6,3,1,9,0,10,0,10,0,10,,,,0,100,0,100,0,100,2,98,54,36,27,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,評価指標
15,0,10,8,1,0,10,0,10,0,10,0,10,,0,10,6,3,0,10,0,10,0,10,0,10,,,,100,100,100,100,100,100,100,100,90,90,100,100,,,,,,,,,,,,,,,,,,,,,,,,正解データ,,,,,,,,Accuracy,Sensitivity,Specificity,,Accuracy
16,0,10,9,0,0,10,0,10,0,10,0,10,,0,10,6,3,2,8,0,10,0,10,0,10,,,,0,1,0,1,0,1,0.02,0.98,0.6,0.4,0.27,0.73,,,,,,,,,正解データ,,,,,,,,,,,,,,,eight,,circle,,square,,,eight,0.826,0.644,0.842,,
17,0,10,4,5,0,10,0,10,0,10,0,10,,0,10,5,4,0,10,0,10,0,10,0,10,,,,0,100,0,100,0,100,19,81,54,46,48,42,,,,,,,,,eight,,circle,,square,,small_eight,,small_circle,,small_square,,,正解データ:9個,,認証結果,,認証結果,,認証結果,,,circle,0.963,0.644,0.992,,
18,0,10,4,5,0,10,0,10,0,10,0,10,,0,10,3,6,0,10,0,10,0,10,0,10,,,,100,100,100,100,100,100,100,100,100,100,90,90,,,,,,,正解データ:9個,,認証結果,,認証結果,,認証結果,,認証結果,,認証結果,,認証結果,,,不正解データ:500個,,正解,不正解,正解,不正解,正解,不正解,,square,0.892,0.533,0.924,,
