,0,1,2,3,4,5,6,7,8,9,,,,,,,,,
0,eight,,,,,,,,,,,,10Ç©Ç¢ÇÃê∏ìxåüèÿÇÃóﬁéóìxïΩãœÇ∆ïWèÄïŒç∑,,,,,,
1,circle,,,,,,,,,,,,,,,,,,
2,square,,,,,,,,,,,,,,,,,,
3,small_eight,,,,,,,,,,,,,,,,,,
4,small_circle,,,,,,,,,,,,,,,,,,
5,small_square,,,,,,,,,,,,,,,,,,
0,,91.09822096,56.58634784,67.86075946,56.85701926,147.4176375,53.1286973,59.57364978,86.95159221,76.45304134,,eight,91.97044309,26.35234838,,eight,91.97044309,26.35234838,65.61809472
1,91.09822096,,102.7995885,95.46049758,105.6735352,130.6348879,79.82664683,87.27836126,97.0095091,79.5947494,,,88.46919573,29.14251181,,circle,38.99138565,12.31139442,26.67999123
2,56.58634784,102.7995885,,80.98587911,73.74805083,130.0974496,70.4412809,71.69780624,100.163786,83.47608602,,,82.44911786,32.67493033,,square,56.9806949,10.28772707,46.69296783
3,67.86075946,95.46049758,80.98587911,,74.148178,159.7100831,82.97615422,80.40319274,92.47016419,75.43117979,,,77.54951131,34.89814225,,small_eight,61.05859179,17.30832247,43.75026932
4,56.85701926,105.6735352,73.74805083,74.148178,,122.8745769,78.23478411,83.12981432,91.8527484,84.95822077,,,73.12401639,35.23089375,,small_circle,28.2173898,11.72597988,16.49140992
5,147.4176375,130.6348879,130.0974496,159.7100831,122.8745769,,117.0408351,116.2667801,128.1908631,168.1695053,,,69.2243231,35.59350541,,small_square,48.65439607,17.97962882,30.67476725
6,53.1286973,79.82664683,70.4412809,82.97615422,78.23478411,117.0408351,,66.93683611,114.1623398,86.89874498,,,58.78199668,28.80105307,,,,,
7,59.57364978,87.27836126,71.69780624,80.40319274,83.12981432,116.2667801,66.93683611,,74.59889052,77.55807061,,,53.60572323,27.94318309,,,,,
8,86.95159221,97.0095091,100.163786,92.47016419,91.8527484,128.1908631,114.1623398,74.59889052,,77.84289691,,,49.93582695,26.55633771,,,,,
9,76.45304134,79.5947494,83.47608602,75.43117979,84.95822077,168.1695053,86.89874498,77.55807061,77.84289691,,,,44.59124281,21.30141458,,,,,
0,,34.63740531,33.21486671,24.95422533,63.86707188,36.37711194,36.57716199,62.65789489,55.65318074,32.87578421,,circle,38.99138565,12.31139442,,,,,
1,34.63740531,,28.98500514,30.92481092,52.84789679,29.98729167,27.33791529,49.37112065,46.85653982,26.62100256,,,40.30615294,12.76388637,,,,,
2,33.21486671,28.98500514,,36.97225169,52.10645078,31.14722385,26.7875798,44.50666422,44.09757957,31.2140639,,,41.38291202,12.61990102,,,,,
3,24.95422533,30.92481092,36.97225169,,69.99792339,43.76042293,38.36156352,66.00999011,62.92703994,37.24331808,,,43.42198273,13.30497978,,,,,
4,63.86707188,52.84789679,52.10645078,69.99792339,,31.05511032,38.02440834,23.54117247,40.75609115,48.30840598,,,45.07048633,14.12738837,,,,,
5,36.37711194,29.98729167,31.14722385,43.76042293,31.05511032,,23.33734396,29.00270713,29.84165049,26.08437844,,,45.74854558,13.95634356,,,,,
6,36.57716199,27.33791529,26.7875798,38.36156352,38.02440834,23.33734396,,35.91099611,32.70985884,24.73488147,,,47.86337815,13.1991215,,,,,
7,62.65789489,49.37112065,44.50666422,66.00999011,23.54117247,29.00270713,35.91099611,,33.11347585,43.03871452,,,50.52036984,12.71104335,,,,,
8,55.65318074,46.85653982,44.09757957,62.92703994,40.75609115,29.84165049,32.70985884,33.11347585,,36.27480167,,,52.37834761,12.44854643,,,,,
9,32.87578421,26.62100256,31.2140639,37.24331808,48.30840598,26.08437844,24.73488147,43.03871452,36.27480167,,,,54.55605715,12.16371929,,,,,
0,,39.19574849,54.28731091,63.84657509,57.37360705,50.16371896,58.55080759,52.13201095,59.40971786,64.1842621,,square,56.9806949,10.28772707,,,,,
1,39.19574849,,50.55472537,49.37685386,44.0593154,36.6176885,49.78600275,57.35174847,52.75764538,44.77757666,,,57.1570004,11.56358632,,,,,
2,54.28731091,50.55472537,,74.00457035,56.62001774,55.96495468,44.77026917,64.78310483,58.50052226,53.06257493,,,58.11691224,11.68458752,,,,,
3,63.84657509,49.37685386,74.00457035,,43.22496439,53.30816285,77.320316,77.25666736,67.03684957,54.14191054,,,58.50446237,11.93114384,,,,,
4,57.37360705,44.0593154,56.62001774,43.22496439,,55.25771679,50.14132619,59.85952407,73.16533688,41.82805498,,,59.2799102,13.65331779,,,,,
5,50.16371896,36.6176885,55.96495468,53.30816285,55.25771679,,49.19435269,52.4532793,60.01487382,57.95342443,,,59.04625774,13.75998451,,,,,
6,58.55080759,49.78600275,44.77026917,77.320316,50.14132619,49.19435269,,48.79870039,74.78675185,69.56243471,,,59.15183567,14.36128427,,,,,
7,52.13201095,57.35174847,64.78310483,77.25666736,59.85952407,52.4532793,48.79870039,,67.59278435,74.14291493,,,57.93838314,14.99875089,,,,,
8,59.40971786,52.75764538,58.50052226,67.03684957,73.16533688,60.01487382,74.78675185,67.59278435,,64.95959496,,,59.22546552,16.15007739,,,,,
9,64.1842621,44.77757666,53.06257493,54.14191054,41.82805498,57.95342443,69.56243471,74.14291493,64.95959496,,,,60.38901429,17.0925416,,,,,
